Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
NYCH,Conesus-Hemlock-Honeoye Lakes,42.7776,-77.6161,2,0.0139,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,2,0.0146,,
FLGA,Gainesville,29.6027,-82.3127,2,0.0121,,
AZGV,Green Valley-Madera Canyon,31.7923,-110.9151,2,0.0172,,
PEHI,Hillsborough,46.1384,-63.0363,2,0.0548,,
CNSA,"Saipan, C.N.M.I.",15.1991,145.7506,2,0.0833,,
GUSO,"Southern Guam, Guam",13.3589,144.7055,2,0.0800,,
CAUK,Ukiah,39.1386,-123.1660,2,0.0396,,
CADV,Death Valley,36.4619,-116.8668,2,0.2105,,
MOTC,Taney County,36.6070,-93.1830,2,0.0370,,
BCCH,Chilliwack,49.1113,-121.9436,2,0.0278,,
NJLA,Lakehurst,40.0159,-74.1451,2,0.0282,,
MAMA,Marshfield,42.0973,-70.6537,2,0.0339,,
AKJU,Juneau,58.3167,-134.5500,2,0.0421,,
COGR,Greeley,40.3936,-104.6801,2,0.0556,,
NJSH,Sandy Hook,40.4700,-74.0031,2,0.0233,,
SCCL,Clemson,34.6346,-82.8365,2,0.0505,,
NYQW,L.I.: Quogue-Watermill,40.8591,-72.4524,2,0.0303,,
NYNN,L.I.: Northern Nassau County,40.8660,-73.5938,2,0.0107,,
MDAG,Annapolis-Gibson Island,39.0033,-76.5065,2,0.0078,,
KYDA,Danville,37.6463,-84.7733,2,0.0145,,
FL0L,"Ortona, Glades County",26.8667,-81.3167,2,0.0449,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,2,0.0217,,
TXBO,Boerne,29.8666,-98.7901,2,0.0265,,
NVRL,Ruby Lake,40.2000,-115.5000,2,0.1176,,
AZTV,Tucson Valley,32.3016,-110.9735,2,0.0187,,
MDRR,Rock Run,39.6041,-76.1670,2,0.0190,,
NJSA,Salem,39.6140,-75.4142,2,0.0278,,
NJBA,Barnegat,39.6667,-74.1667,2,0.0250,,
KSRC,Reno County-Yoder,37.9000,-97.8667,2,0.0471,,
MTBL,Billings,45.8167,-108.4333,2,0.0216,,
UTLO,Logan,41.7993,-111.8333,2,0.0207,,
ILCV,Collinsville,38.7081,-89.9588,2,0.0707,,
BCOO,Oliver-Osoyoos,49.0787,-119.5164,2,0.0139,,
CAPC,Putah Creek,38.4810,-122.0306,2,0.0138,,
MDDE,Denton,38.9055,-75.8350,1,0.0145,,
ILFB,Fermilab-Batavia,41.8605,-88.2628,1,0.0086,,
TX2V,Davis Mountains,30.6833,-103.9000,1,0.0256,,
OHEL,Elyria-Lorain,41.3842,-82.1897,1,0.0127,,
INTI,Tippecanoe,41.3237,-85.7887,1,0.0170,,
ILBH,"Bird Haven Sanctuary, Olney",38.7529,-88.0760,1,0.0227,,
TXVI,Victoria,28.8723,-97.0784,1,0.0175,,
ORSH,Sodhouse,43.2000,-118.8833,1,0.0373,,
MAWO,Worcester,42.3238,-71.7937,1,0.0144,,
TXWF,Wichita Falls,33.8877,-98.6298,1,0.0290,,
NYQU,L.I.: Queens,40.6932,-73.7448,1,0.0110,,
KSQU,Quivira N.W.R.,38.1500,-98.4833,1,0.0392,,
SDMA,Madison,43.9560,-97.0999,1,0.0164,,
SDPI,Pierre,44.3670,-100.3463,1,0.0211,,
MDSD,Southern Dorchester County,38.3617,-76.0371,1,0.0117,,
FLFM,Fort Myers,26.5551,-81.9906,1,0.0118,,
TXLO,Lake O' the Pines,32.8001,-94.5947,1,0.0153,,
NYCY,Central Cayuga County,42.8000,-76.6167,1,0.0213,,
ORUC,Union County,45.2500,-117.8833,1,0.0307,,
VARC,Rockingham County,38.4318,-79.0394,1,0.0166,,
ILWM,Western Mercer County,41.1702,-90.9198,1,0.0286,,
VAWP,Wachapreague,37.6707,-75.6998,1,0.0182,,
MAMI,Millis,42.1675,-71.3572,1,0.0052,,
NMCC,Carlsbad Caverns N.P.,32.1772,-104.5029,1,0.0149,,
WI06,Beloit,42.5667,-89.0500,1,0.0110,,
MDEL,Elkton,39.5333,-75.9424,1,0.0119,,
MOSC,Loess Bluffs (formerly Squaw Creek) N.W.R.,40.0833,-95.2667,1,0.0241,,
IACR,Cedar Rapids,41.9790,-91.6695,1,0.0111,,
ILCU,Chicago (urban),41.9099,-87.7263,1,0.0167,,
WAWE,Wenatchee,47.4551,-120.3230,1,0.0110,,
NCWI,Wilmington,34.1401,-77.8936,1,0.0204,,
